rank,objective,sensor_ids,sensors,n_parts,usd,pins,declared,emergent,score,lift,per_part,per_dollar,per_pin,emergent_keys,new_routes,fired_edges,notes,reasoning
1,score,S001|S023|S072|S179|S197|S212,DS18B20 digital temp probe|BME688 gas + climate AI|MPU-6050 6-axis IMU|DFRobot Gravity mmWave presence radar|US-100 ultrasonic w/ temp comp|INA3221 triple-channel power,6,49.5,7,64,9,73,58,12.167,1.475,10.429,air-density|energy-waste-unoccupied|grid-stress|path-averaged-temperature|presence-verified|soil-water-volumetric|thermal-map|thermal-time-constant|wet-bulb-heat-stress,bearing-failing|material-type,air-density-live|bearing-thermal|compost-core|gait-corridor|grid-frequency-watch|house-thermal-constant|liquid-id-effusivity|microclimate-grid|presence-two-physics|psychrometric-wetbulb|sleep-two-signal|snow-sonic|soil-heat-pulse|sonic-thermometer|unoccupied-burn,,"DS18B20 digital temp probe + BME688 gas + climate AI + MPU-6050 6-axis IMU + DFRobot Gravity mmWave presence radar + US-100 ultrasonic w/ temp comp + INA3221 triple-channel power: the set fires Bearing temperature-rise monitor, Compost activity meter, Building thermal time-constant and 6 more, unlocking energy-waste-unoccupied, presence-verified, soil-water-volumetric, thermal-map, plus 2 new routes to outcomes it declares nowhere — 73 outcomes together against 15 for its best single member, a lift of 58. It costs 7 ESP32 pins and $49.5; it spans 1-Wire + I2C + Pulse + UART."
2,score,S007|S023|S072|S179|S197|S212,MLX90614 IR thermometer|BME688 gas + climate AI|MPU-6050 6-axis IMU|DFRobot Gravity mmWave presence radar|US-100 ultrasonic w/ temp comp|INA3221 triple-channel power,6,55,6,65,8,73,58,12.167,1.327,12.167,air-density|energy-waste-unoccupied|grid-stress|path-averaged-temperature|presence-verified|soil-water-volumetric|thermal-time-constant|wet-bulb-heat-stress,compost-active|material-type,air-density-live|bearing-thermal|cloud-cover-ir|compost-core|gait-corridor|grid-frequency-watch|house-thermal-constant|liquid-id-effusivity|presence-two-physics|psychrometric-wetbulb|sleep-two-signal|snow-sonic|soil-heat-pulse|sonic-thermometer|stove-watch|unoccupied-burn,,"MLX90614 IR thermometer + BME688 gas + climate AI + MPU-6050 6-axis IMU + DFRobot Gravity mmWave presence radar + US-100 ultrasonic w/ temp comp + INA3221 triple-channel power: the set fires Bearing temperature-rise monitor, Sky thermometer cloud detector, Compost activity meter and 6 more, unlocking energy-waste-unoccupied, presence-verified, soil-water-volumetric, thermal-time-constant, plus 2 new routes to outcomes it declares nowhere — 73 outcomes together against 15 for its best single member, a lift of 58. It costs 6 ESP32 pins and $55; it spans I2C + Pulse + UART."
3,score,S001|S023|S144|S179|S182|S206,DS18B20 digital temp probe|BME688 gas + climate AI|INA219 current/power monitor|DFRobot Gravity mmWave presence radar|Scale-hacking: NAU7802|MPU-9250 9-axis (legacy),6,62.0,5,65,8,73,56,12.167,1.177,14.6,air-density|energy-waste-unoccupied|grid-stress|presence-verified|soil-water-volumetric|thermal-map|thermal-time-constant|wet-bulb-heat-stress,bearing-failing|material-type|snow-depth,air-density-live|bearing-thermal|compost-core|gait-corridor|grid-frequency-watch|house-thermal-constant|liquid-id-effusivity|microclimate-grid|presence-two-physics|psychrometric-wetbulb|sleep-two-signal|snow-sonic|soil-heat-pulse|unoccupied-burn,a level translator is needed — not a 3.3V-native signal — MPU-9250 9-axis (legacy),"DS18B20 digital temp probe + BME688 gas + climate AI + INA219 current/power monitor + DFRobot Gravity mmWave presence radar + Scale-hacking: NAU7802 + MPU-9250 9-axis (legacy): the set fires Bearing temperature-rise monitor, Compost activity meter, Building thermal time-constant and 7 more, unlocking energy-waste-unoccupied, presence-verified, soil-water-volumetric, thermal-map, plus 3 new routes to outcomes it declares nowhere — 73 outcomes together against 17 for its best single member, a lift of 56. It costs 5 ESP32 pins and $62; it spans 1-Wire + I2C + UART. Caveat: a level translator is needed — not a 3.3V-native signal — MPU-9250 9-axis (legacy)."
4,score,S007|S015|S072|S179|S197|S212,MLX90614 IR thermometer|SHT31 weatherproof probe|MPU-6050 6-axis IMU|DFRobot Gravity mmWave presence radar|US-100 ultrasonic w/ temp comp|INA3221 triple-channel power,6,52,6,63,9,72,57,12.0,1.385,12.0,black-ice-risk|condensation-risk|energy-waste-unoccupied|grid-stress|path-averaged-temperature|presence-verified|soil-water-volumetric|thermal-time-constant|wet-bulb-heat-stress,material-type,bearing-thermal|black-ice-watch|cloud-cover-ir|compost-core|condensation-watch|gait-corridor|grid-frequency-watch|house-thermal-constant|liquid-id-effusivity|mould-forecast|presence-two-physics|psychrometric-wetbulb|sleep-two-signal|snow-sonic|soil-heat-pulse|sonic-thermometer|stove-watch|unoccupied-burn,,"MLX90614 IR thermometer + SHT31 weatherproof probe + MPU-6050 6-axis IMU + DFRobot Gravity mmWave presence radar + US-100 ultrasonic w/ temp comp + INA3221 triple-channel power: the set fires Bearing temperature-rise monitor, Road ice predictor, Sky thermometer cloud detector and 9 more, unlocking black-ice-risk, condensation-risk, energy-waste-unoccupied, presence-verified, plus 1 new route to outcomes it declares nowhere — 72 outcomes together against 15 for its best single member, a lift of 57. It costs 6 ESP32 pins and $52; it spans I2C + Pulse + UART."
5,score,S023|S072|S093|S179|S197|S212,BME688 gas + climate AI|MPU-6050 6-axis IMU|Ultrasonic mic experiments|DFRobot Gravity mmWave presence radar|US-100 ultrasonic w/ temp comp|INA3221 triple-channel power,6,53,7,63,9,72,57,12.0,1.358,10.286,air-density|energy-waste-unoccupied|grid-stress|path-averaged-temperature|presence-verified|recording-authenticity|soil-water-volumetric|thermal-time-constant|wet-bulb-heat-stress,breathing-stopped|compost-active|material-type,air-density-live|apnea-two-channel|bearing-thermal|compost-core|enf-timestamp|gait-corridor|grid-frequency-watch|helmholtz-level|house-thermal-constant|liquid-id-effusivity|presence-two-physics|psychrometric-wetbulb|sleep-two-signal|snow-sonic|soil-heat-pulse|sonic-thermometer|unoccupied-burn,"PSRAM wanted — an S3 or WROVER variant, not a plain ESP32 — Ultrasonic mic experiments","BME688 gas + climate AI + MPU-6050 6-axis IMU + Ultrasonic mic experiments + DFRobot Gravity mmWave presence radar + US-100 ultrasonic w/ temp comp + INA3221 triple-channel power: the set fires Two-channel breathing sentinel, Bearing temperature-rise monitor, Compost activity meter and 7 more, unlocking energy-waste-unoccupied, presence-verified, recording-authenticity, soil-water-volumetric, plus 3 new routes to outcomes it declares nowhere — 72 outcomes together against 15 for its best single member, a lift of 57. It costs 7 ESP32 pins and $53; it spans Analog + I2C + Pulse + UART. Caveat: PSRAM wanted — an S3 or WROVER variant, not a plain ESP32 — Ultrasonic mic experiments."
6,score,S023|S072|S179|S197|S210|S212,BME688 gas + climate AI|MPU-6050 6-axis IMU|DFRobot Gravity mmWave presence radar|US-100 ultrasonic w/ temp comp|DS18B20 water temp + flow combo|INA3221 triple-channel power,6,57,7,63,9,72,57,12.0,1.263,10.286,air-density|energy-waste-unoccupied|grid-stress|path-averaged-temperature|presence-verified|soil-water-volumetric|thermal-map|thermal-time-constant|wet-bulb-heat-stress,bearing-failing|compost-active|material-type|water-leak,air-density-live|bearing-thermal|compost-core|gait-corridor|grid-frequency-watch|house-thermal-constant|leak-by-context|liquid-id-effusivity|loop-heat-meter|microclimate-grid|presence-two-physics|psychrometric-wetbulb|sleep-two-signal|snow-sonic|soil-heat-pulse|sonic-thermometer|unoccupied-burn,,"BME688 gas + climate AI + MPU-6050 6-axis IMU + DFRobot Gravity mmWave presence radar + US-100 ultrasonic w/ temp comp + DS18B20 water temp + flow combo + INA3221 triple-channel power: the set fires Bearing temperature-rise monitor, Compost activity meter, Building thermal time-constant and 8 more, unlocking energy-waste-unoccupied, presence-verified, soil-water-volumetric, thermal-map, plus 4 new routes to outcomes it declares nowhere — 72 outcomes together against 15 for its best single member, a lift of 57. It costs 7 ESP32 pins and $57; it spans 1-Wire + I2C + Pulse + UART."
7,score,S023|S084|S179|S182|S206|S381,BME688 gas + climate AI|A3144 / SS49E Hall switches|DFRobot Gravity mmWave presence radar|Scale-hacking: NAU7802|MPU-9250 9-axis (legacy)|BL0940 calibration-free mains metering IC,6,58.9,7,61,11,72,55,12.0,1.222,10.286,air-density|building-heat-loss|cost-per-use|energy-waste-unoccupied|grid-stress|inrush-health|presence-verified|soil-water-volumetric|thermal-map|thermal-time-constant|wet-bulb-heat-stress,bearing-failing|compost-active|material-type|power-quality|snow-depth,air-density-live|bearing-thermal|building-ua|compost-core|gait-corridor|grid-frequency-watch|house-thermal-constant|inrush-signature|liquid-id-effusivity|microclimate-grid|nilm-signature|pf-power-quality|presence-two-physics|psychrometric-wetbulb|sleep-two-signal|snow-sonic|soil-heat-pulse|unoccupied-burn|which-room-energy,"a level translator is needed — not a 3.3V-native signal — A3144 / SS49E Hall switches, MPU-9250 9-axis (legacy)","BME688 gas + climate AI + A3144 / SS49E Hall switches + DFRobot Gravity mmWave presence radar + Scale-hacking: NAU7802 + MPU-9250 9-axis (legacy) + BL0940 calibration-free mains metering IC: the set fires Bearing temperature-rise monitor, Whole-building heat-loss coefficient, Compost activity meter and 9 more, unlocking building-heat-loss, cost-per-use, energy-waste-unoccupied, presence-verified, plus 5 new routes to outcomes it declares nowhere — 72 outcomes together against 17 for its best single member, a lift of 55. It costs 7 ESP32 pins and $58.9; it spans Analog + I2C + UART. Caveat: a level translator is needed — not a 3.3V-native signal — A3144 / SS49E Hall switches, MPU-9250 9-axis (legacy)."
8,score,S001|S023|S178|S179|S182|S381,DS18B20 digital temp probe|BME688 gas + climate AI|LDC1612 inductive sensing|DFRobot Gravity mmWave presence radar|Scale-hacking: NAU7802|BL0940 calibration-free mains metering IC,6,62.0,7,61,11,72,55,12.0,1.161,10.286,air-density|building-heat-loss|cost-per-use|energy-waste-unoccupied|grid-stress|inrush-health|presence-verified|soil-water-volumetric|thermal-map|thermal-time-constant|wet-bulb-heat-stress,bearing-failing|power-quality|snow-depth,air-density-live|bearing-thermal|building-ua|compost-core|gait-corridor|grid-frequency-watch|house-thermal-constant|inrush-signature|liquid-id-effusivity|microclimate-grid|nilm-signature|pf-power-quality|presence-two-physics|psychrometric-wetbulb|snow-sonic|soil-heat-pulse|unoccupied-burn|which-room-energy,,"DS18B20 digital temp probe + BME688 gas + climate AI + LDC1612 inductive sensing + DFRobot Gravity mmWave presence radar + Scale-hacking: NAU7802 + BL0940 calibration-free mains metering IC: the set fires Bearing temperature-rise monitor, Whole-building heat-loss coefficient, Compost activity meter and 8 more, unlocking building-heat-loss, cost-per-use, energy-waste-unoccupied, presence-verified, plus 3 new routes to outcomes it declares nowhere — 72 outcomes together against 17 for its best single member, a lift of 55. It costs 7 ESP32 pins and $62; it spans 1-Wire + I2C + UART."
9,score,S001|S023|S144|S178|S179|S182,DS18B20 digital temp probe|BME688 gas + climate AI|INA219 current/power monitor|LDC1612 inductive sensing|DFRobot Gravity mmWave presence radar|Scale-hacking: NAU7802,6,63.0,5,65,7,72,55,12.0,1.143,14.4,air-density|energy-waste-unoccupied|grid-stress|presence-verified|soil-water-volumetric|thermal-time-constant|wet-bulb-heat-stress,bearing-failing|snow-depth,air-density-live|bearing-thermal|compost-core|gait-corridor|grid-frequency-watch|house-thermal-constant|liquid-id-effusivity|presence-two-physics|psychrometric-wetbulb|snow-sonic|soil-heat-pulse|unoccupied-burn,,"DS18B20 digital temp probe + BME688 gas + climate AI + INA219 current/power monitor + LDC1612 inductive sensing + DFRobot Gravity mmWave presence radar + Scale-hacking: NAU7802: the set fires Bearing temperature-rise monitor, Compost activity meter, Building thermal time-constant and 5 more, unlocking energy-waste-unoccupied, presence-verified, soil-water-volumetric, thermal-time-constant, plus 2 new routes to outcomes it declares nowhere — 72 outcomes together against 17 for its best single member, a lift of 55. It costs 5 ESP32 pins and $63; it spans 1-Wire + I2C + UART."
10,score,S007|S036|S072|S179|S197|S212,MLX90614 IR thermometer|SCD41 true CO2|MPU-6050 6-axis IMU|DFRobot Gravity mmWave presence radar|US-100 ultrasonic w/ temp comp|INA3221 triple-channel power,6,65,6,62,10,72,57,12.0,1.108,12.0,air-changes-hour|energy-waste-unoccupied|grid-stress|path-averaged-temperature|presence-verified|room-volume-estimate|soil-water-volumetric|thermal-time-constant|wet-bulb-heat-stress|window-open-state,compost-active|material-type,ach-co2-decay|bearing-thermal|cloud-cover-ir|co2-room-volume|compost-core|gait-corridor|grid-frequency-watch|house-thermal-constant|liquid-id-effusivity|presence-two-physics|psychrometric-wetbulb|sleep-two-signal|snow-sonic|soil-heat-pulse|sonic-thermometer|stove-watch|unoccupied-burn|window-detect,,"MLX90614 IR thermometer + SCD41 true CO2 + MPU-6050 6-axis IMU + DFRobot Gravity mmWave presence radar + US-100 ultrasonic w/ temp comp + INA3221 triple-channel power: the set fires Bearing temperature-rise monitor, Sky thermometer cloud detector, Compost activity meter and 6 more, unlocking energy-waste-unoccupied, presence-verified, soil-water-volumetric, thermal-time-constant, plus 2 new routes to outcomes it declares nowhere — 72 outcomes together against 15 for its best single member, a lift of 57. It costs 6 ESP32 pins and $65; it spans I2C + Pulse + UART."
