objective,rank,sensor_id,sensor,usd,gain,cumulative_outcomes,pct,cumulative_usd,usd_per_outcome_gained,outcomes_bought
by_cost,1,S091,Piezo contact mic / disc,0.5,14,14,0.0927,0.5,0.036,air-leak|bearing-failing|cycle-complete|drift-from-baseline|glass-broken|intrusion|machine-duty-cycle|machine-running|machine-state|object-dropped|someone-present|tamper-detected|unusual-sound|water-leak
by_cost,2,S085,Reed switch,0.5,10,24,0.1589,1.0,0.05,container-fullness|door-state|entered-or-left|flow-rate|is-raining|object-count|object-present|rotation-speed|tank-level|water-used-total
by_cost,3,S006,NTC thermistor 10k,0.3,4,28,0.1854,1.3,0.075,frost-tonight|object-temperature|overheating|water-hot-enough
by_cost,4,S049,Photoresistor (LDR),0.2,4,32,0.2119,1.5,0.05,crossed-boundary|device-left-on|light-dose-daily|sky-clear
by_cost,5,S072,MPU-6050 6-axis IMU,2,8,40,0.2649,3.5,0.25,am-i-level|gait-quality|imbalance|object-moved|posture|step-count|structure-moved|tremor-present
by_cost,6,S228,Wi-Fi CSI sensing (the router IS the sensor),0,4,44,0.2914,3.5,0.0,breathing-rate|how-many-people|person-fell|through-wall-motion
by_cost,7,S144,INA219 current/power monitor,2.5,8,52,0.3444,6.0,0.312,abnormal-current|battery-charge|battery-health|energy-budget-node|phantom-load|power-now|solar-performance|which-appliance
by_cost,8,S189,AHT20 temp/humidity,2,6,58,0.3841,8.0,0.333,air-stuffy|coating-cured|disease-pressure|heat-island|mould-risk|too-dry
by_cost,9,S026,MQ-2 smoke/LPG gas,2,5,63,0.4172,10.0,0.4,cooking-detected|gas-leak|smoke-present|stove-left-on|voc-event
by_cost,10,S174,RC522 RFID reader,2,5,68,0.4503,12.0,0.4,asset-location|authorised-to-use|object-identity|occupancy-duration|who-is-it
by_cost,11,S081,QMC5883L compass,2,4,72,0.4768,14.0,0.5,hidden-wiring|magnetic-anomaly|vehicle-approaching|which-way-facing
by_cost,12,S192,BMP280 budget barometer,1.5,3,75,0.4967,15.5,0.5,how-high|returned-to-spot|storm-approaching
by_cost,13,S001,DS18B20 digital temp probe,2.5,4,79,0.5232,18.0,0.625,compost-active|food-fresh|soil-ready-to-plant|thermal-energy-moved
by_cost,14,S129,Capacitive soil moisture v2,2,3,82,0.543,20.0,0.667,growth-rate|moisture-content|plant-thirsty
by_cost,15,S056,HC-SR04 ultrasonic,1.5,2,84,0.5563,21.5,0.75,consumable-remaining|obstacle-ahead
by_cost,16,S065,HC-SR501 PIR motion,1.5,2,86,0.5695,23.0,0.75,no-movement-alarm|routine-broken
by_cost,17,S029,MQ-135 air quality,2.5,3,89,0.5894,25.5,0.833,livestock-wellbeing|smell-signature|ventilation-adequate
by_cost,18,S084,A3144 / SS49E Hall switches,0.4,1,90,0.596,25.9,0.4,wind-conditions
by_cost,19,S318,TCS3200 frequency-output colour sensor,4.0,4,94,0.6225,29.9,1.0,colour-match|fruit-ripe|object-material|water-clarity
by_cost,20,S322,BPW34 PIN photodiode,1.0,1,95,0.6291,30.9,1.0,radiation-dose
by_cost,21,S112,MAX30102 pulse oximeter,6,5,100,0.6623,36.9,1.2,blood-oxygen|heart-rate|heart-variability|sleep-stage-proxy|stress-arousal
by_cost,22,S213,ADS1115 16-bit ADC (the analog fixer),3,2,102,0.6755,39.9,1.5,water-nutrients|water-ph
by_cost,23,S381,BL0940 calibration-free mains metering IC,1.5,1,103,0.6821,41.4,1.5,energy-cost
by_cost,24,S067,LD2410 mmWave presence,5,3,106,0.702,46.4,1.667,person-asleep|someone-still-present|where-in-room
by_cost,25,S093,Ultrasonic mic experiments,6,3,109,0.7219,52.4,2.0,arc-or-discharge|lubrication-failing|ultrasonic-activity
by_cost,26,S157,NEO-6M GPS,8,4,113,0.7483,60.4,2.0,how-far-travelled|how-fast-moving|vehicle-speed|where-am-i
by_cost,27,S180,IR flame detector (flicker),2,1,114,0.755,62.4,2.0,fire-present
by_cost,28,S197,US-100 ultrasonic w/ temp comp,4,2,116,0.7682,66.4,2.0,flood-rising|snow-depth
