"# total is calibrated WITHIN k (the normalisation caps are pair-fitted); compare rows by percentile_within_k, never a triple's total against a pair's. deduped_into names the better combination that makes the same claim with an interchangeable part; blank means this row is the family representative."
rank,k,ids,parts,usd,total,percentile_within_k,synergy,emergent_keys,new_route_keys,multiplicity_incidental_keys,shared_phenomena,shared_kinds,compensation_channels,compensation_source,compensation_doubtful,failure_independence,tau_decades,time_mode,tau_confidence,tau_lower_bound,novelty,esp32_verdict,boards_that_fit,family_signature,deduped_into,equivalent_swaps,reasoning,confound
1,2,S192|S278,BMP280 budget barometer|SEN66 six-in-one air module,71.5,0.64779,99.999,8.75,air-density|radon-risk-rising|soil-water-volumetric|thermal-time-constant|wet-bulb-heat-stress,bearing-failing|compost-active,,temperature-contact,unverified,S278>S192:humidity@1|S192>S278:barometric-pressure@1,prose,0,0.733,2.196,separated,low,yes,unexplored,single-board,B001|B002|B003|B004|B005|B006|B007|B008|B009|B010|B011|B012|B013|B014,S016+S278,,S017+S278|S018+S278|S016+S278|S019+S278,"BMP280 budget barometer + SEN66 six-in-one air module: SEN66 six-in-one air module measures `humidity-relative`, which is exactly what fools BMP280 budget barometer (ambient humidity and condensation), plus 1 further correction channel(s); they share `temperature-contact` but the transduction mechanism is unreadable on at least one side, so it is scored as redundancy, not as a differential pair; together they reach `air-density`, `radon-risk-rising`, which no member reaches alone; `soil-water-volumetric`, `thermal-time-constant`, `wet-bulb-heat-stress` also fire, but only because two parts happen to carry the same capability — two copies of one part would do the same, so that is discounted; their time constants differ by 2.2 decades, scored as `separated` (a slow reference disciplining a fast channel).","Both members are fooled by the same thing (barometric pressure and altitude change, ambient humidity and condensation), so agreement between them is NOT independent confirmation. Wet-bulb heat-stress meter: The wick must stay wet and ventilated; a dry wick silently converges to the dry bulb and the danger signal disappears exactly when it matters. The correction is only as good as the co-location — SEN66 six-in-one air module must sit in the same air/on the same surface as BMP280 budget barometer or it is correcting a different place."
2,2,S036|S192,SCD41 true CO2|BMP280 budget barometer,26.5,0.64539,99.998,8.75,air-density|radon-risk-rising|soil-water-volumetric|thermal-time-constant|wet-bulb-heat-stress,bearing-failing|compost-active,,temperature-contact,unverified,S192>S036:barometric-pressure@1|S036>S192:humidity@1,prose,0,0.713,2.895,separated,low,yes,unexplored,single-board,B001|B002|B003|B004|B005|B006|B007|B008|B009|B010|B011|B012|B013|B014,S016+S036,,S017+S036|S018+S036|S016+S036|S019+S036,"SCD41 true CO2 + BMP280 budget barometer: BMP280 budget barometer measures `pressure-absolute`, which is exactly what fools SCD41 true CO2 (barometric pressure and altitude change), plus 1 further correction channel(s); they share `temperature-contact` but the transduction mechanism is unreadable on at least one side, so it is scored as redundancy, not as a differential pair; together they reach `air-density`, `radon-risk-rising`, which no member reaches alone; `soil-water-volumetric`, `thermal-time-constant`, `wet-bulb-heat-stress` also fire, but only because two parts happen to carry the same capability — two copies of one part would do the same, so that is discounted; their time constants differ by 2.9 decades, scored as `separated` (a slow reference disciplining a fast channel).","Both members are fooled by the same thing (barometric pressure and altitude change, ambient humidity and condensation), so agreement between them is NOT independent confirmation. Wet-bulb heat-stress meter: The wick must stay wet and ventilated; a dry wick silently converges to the dry bulb and the danger signal disappears exactly when it matters. The correction is only as good as the co-location — BMP280 budget barometer must sit in the same air/on the same surface as SCD41 true CO2 or it is correcting a different place."
3,2,S015|S329,SHT31 weatherproof probe|FLIR Lepton 3.1R radiometric thermal module,192.0,0.63025,99.996,7.0,black-ice-risk|condensation-risk,sky-clear,,,,S329>S015:sunlight-ir@1|S015>S329:temperature-drift@1,prose,0,0.9,0.778,separated,high,no,unexplored,single-board-with-caveats,B001|B002|B003|B004|B005|B006|B007|B008|B009|B010|B011|B012|B013|B014,S015+S329,,,"SHT31 weatherproof probe + FLIR Lepton 3.1R radiometric thermal module: FLIR Lepton 3.1R radiometric thermal module measures `temperature-remote`, which is exactly what fools SHT31 weatherproof probe (sunlight and ambient infrared), plus 1 further correction channel(s); together they reach `black-ice-risk`, `condensation-risk`, which no member reaches alone; their time constants differ by 0.8 decades, scored as `separated` (a slow reference disciplining a fast channel).",Condensation forecaster: Emissivity: a shiny surface lies to the IR thermometer by 20× (Anti-Catalog II). Put a strip of matt tape at the cold spot and aim at that. The correction is only as good as the co-location — FLIR Lepton 3.1R radiometric thermal module must sit in the same air/on the same surface as SHT31 weatherproof probe or it is correcting a different place.
4,2,S037|S192,SCD30 NDIR CO2|BMP280 budget barometer,41.5,0.6295,99.995,8.5,air-density|radon-risk-rising|soil-water-volumetric|thermal-time-constant|wet-bulb-heat-stress,bearing-failing,,temperature-contact,unverified,S192>S037:barometric-pressure@1|S037>S192:humidity@1,prose,0,0.65,3.196,separated,low,yes,unexplored,single-board,B001|B002|B003|B004|B005|B006|B007|B008|B009|B010|B011|B012|B013|B014,S016+S037,,S017+S037|S016+S037|S018+S037|S019+S037,"SCD30 NDIR CO2 + BMP280 budget barometer: BMP280 budget barometer measures `pressure-absolute`, which is exactly what fools SCD30 NDIR CO2 (barometric pressure and altitude change), plus 1 further correction channel(s); they share `temperature-contact` but the transduction mechanism is unreadable on at least one side, so it is scored as redundancy, not as a differential pair; together they reach `air-density`, `radon-risk-rising`, which no member reaches alone; `soil-water-volumetric`, `thermal-time-constant`, `wet-bulb-heat-stress` also fire, but only because two parts happen to carry the same capability — two copies of one part would do the same, so that is discounted; their time constants differ by 3.2 decades, scored as `separated` (a slow reference disciplining a fast channel).","Both members are fooled by the same thing (barometric pressure and altitude change, dust, dirt, fouling and soiling, ambient humidity and condensation), so agreement between them is NOT independent confirmation. Wet-bulb heat-stress meter: The wick must stay wet and ventilated; a dry wick silently converges to the dry bulb and the danger signal disappears exactly when it matters. The correction is only as good as the co-location — BMP280 budget barometer must sit in the same air/on the same surface as SCD30 NDIR CO2 or it is correcting a different place."
5,2,S023|S279,BME688 gas + climate AI|STC31 percent-level CO2,43.0,0.61071,99.994,6.0,radon-risk-rising|window-open-state,,,,,S023>S279:barometric-pressure@1|S023>S279:gas-cross-sensitivity@1|S023>S279:humidity@1|S023>S279:hydrogen@1|S023>S279:temperature-drift@1,prose,0,0.667,5.238,separated,low,yes,unexplored,single-board,B001|B002|B003|B004|B005|B006|B007|B008|B009|B010|B011|B012|B013|B014,S023+S279,,S023+S280,"BME688 gas + climate AI + STC31 percent-level CO2: BME688 gas + climate AI measures `pressure-absolute`, which is exactly what fools STC31 percent-level CO2 (barometric pressure and altitude change), plus 4 further correction channel(s); together they reach `radon-risk-rising`, `window-open-state`, which no member reaches alone; their time constants differ by 5.2 decades, scored as `separated` (a slow reference disciplining a fast channel).","Both members are fooled by the same thing (ambient humidity and condensation), so agreement between them is NOT independent confirmation. Window-state inferencer: A door to a well-ventilated hallway mimics it; mechanical ventilation kicking in mimics it too. Fingerprint each room's baseline first. The correction is only as good as the co-location — BME688 gas + climate AI must sit in the same air/on the same surface as STC31 percent-level CO2 or it is correcting a different place."
6,2,S209|S257,KY-037/038 sound modules|Eastron SDM120-Modbus DIN energy meter,39.0,0.60933,99.993,9.0,cost-per-use|energy-waste-unoccupied|recording-authenticity,,,,,S257>S209:mains-hum@1,prose,0,1.0,3.0,separated,medium,no,unexplored,single-board-with-caveats,B001|B002|B003|B004|B005|B006|B007|B008|B009|B010|B011|B012|B013|B014,S209+S257,,,"KY-037/038 sound modules + Eastron SDM120-Modbus DIN energy meter: Eastron SDM120-Modbus DIN energy meter measures `voltage`, which is exactly what fools KY-037/038 sound modules (mains hum, 50/60 hz pickup and supply ripple); together they reach `cost-per-use`, `energy-waste-unoccupied`, `recording-authenticity`, which no member reaches alone; their time constants differ by 3.0 decades, scored as `separated` (a slow reference disciplining a fast channel).",ENF recording authenticator: Battery-powered outdoor recordings carry no hum; heavy audio compression notches 50 Hz out. Absence of match ≠ forgery — it is absence of evidence. The correction is only as good as the co-location — Eastron SDM120-Modbus DIN energy meter must sit in the same air/on the same surface as KY-037/038 sound modules or it is correcting a different place.
7,2,S279|S285,STC31 percent-level CO2|BME690 gas + climate,50.0,0.59872,99.991,6.0,radon-risk-rising|window-open-state,,,,,S285>S279:barometric-pressure@1|S285>S279:gas-cross-sensitivity@1|S285>S279:humidity@1|S285>S279:hydrogen@1|S285>S279:temperature-drift@1,prose,0,0.656,,unknown,none,yes,unexplored,single-board,B001|B002|B003|B004|B005|B006|B007|B008|B009|B010|B011|B012|B013|B014,S279+S285,,S280+S285,"STC31 percent-level CO2 + BME690 gas + climate: BME690 gas + climate measures `pressure-absolute`, which is exactly what fools STC31 percent-level CO2 (barometric pressure and altitude change), plus 4 further correction channel(s); together they reach `radon-risk-rising`, `window-open-state`, which no member reaches alone; time constants are `unknown` for at least one member, so nothing is claimed about their timing.","Both members are fooled by the same thing (ambient humidity and condensation), so agreement between them is NOT independent confirmation. Window-state inferencer: A door to a well-ventilated hallway mimics it; mechanical ventilation kicking in mimics it too. Fingerprint each room's baseline first. The correction is only as good as the co-location — BME690 gas + climate must sit in the same air/on the same surface as STC31 percent-level CO2 or it is correcting a different place. And at least one time constant is unknown, so the two channels may not even be comparable in time."
8,2,S008|S015,MLX90632 miniature IR temp|SHT31 weatherproof probe,26,0.596,99.989,7.0,black-ice-risk|condensation-risk,sky-clear,,,,S015>S008:self-heating@1|S008>S015:sunlight-ir@1,prose,0,0.9,3.176,separated,low,yes,unexplored,single-board,B001|B002|B003|B004|B005|B006|B007|B008|B009|B010|B011|B012|B013|B014,S007+S015,,,"MLX90632 miniature IR temp + SHT31 weatherproof probe: SHT31 weatherproof probe measures `temperature-contact`, which is exactly what fools MLX90632 miniature IR temp (self-heating of the sensor or its own board), plus 1 further correction channel(s); together they reach `black-ice-risk`, `condensation-risk`, which no member reaches alone; their time constants differ by 3.2 decades, scored as `separated` (a slow reference disciplining a fast channel).",Condensation forecaster: Emissivity: a shiny surface lies to the IR thermometer by 20× (Anti-Catalog II). Put a strip of matt tape at the cold spot and aim at that. The correction is only as good as the co-location — SHT31 weatherproof probe must sit in the same air/on the same surface as MLX90632 miniature IR temp or it is correcting a different place.
9,2,S015|S162,SHT31 weatherproof probe|MLX90641 thermal (16x12),72,0.596,99.989,7.0,black-ice-risk|condensation-risk,sky-clear,,,,S162>S015:sunlight-ir@1|S015>S162:self-heating@1,prose,0,0.9,3.283,separated,low,yes,unexplored,single-board,B001|B002|B003|B004|B005|B006|B007|B008|B009|B010|B011|B012|B013|B014,S015+S161,,S015+S161,"SHT31 weatherproof probe + MLX90641 thermal (16x12): MLX90641 thermal (16x12) measures `temperature-remote`, which is exactly what fools SHT31 weatherproof probe (sunlight and ambient infrared), plus 1 further correction channel(s); together they reach `black-ice-risk`, `condensation-risk`, which no member reaches alone; their time constants differ by 3.3 decades, scored as `separated` (a slow reference disciplining a fast channel).",Condensation forecaster: Emissivity: a shiny surface lies to the IR thermometer by 20× (Anti-Catalog II). Put a strip of matt tape at the cold spot and aim at that. The correction is only as good as the co-location — MLX90641 thermal (16x12) must sit in the same air/on the same surface as SHT31 weatherproof probe or it is correcting a different place.
10,2,S015|S325,SHT31 weatherproof probe|MLX90621 16x4 fast thermal array,72.0,0.59339,99.988,7.0,black-ice-risk|condensation-risk,sky-clear,,,,S325>S015:sunlight-ir@1|S015>S325:self-heating@1,prose,0,0.9,4.186,separated,low,yes,unexplored,single-board,B001|B002|B003|B004|B005|B006|B007|B008|B009|B010|B011|B012|B013|B014,S015+S325,,,"SHT31 weatherproof probe + MLX90621 16x4 fast thermal array: MLX90621 16x4 fast thermal array measures `temperature-remote`, which is exactly what fools SHT31 weatherproof probe (sunlight and ambient infrared), plus 1 further correction channel(s); together they reach `black-ice-risk`, `condensation-risk`, which no member reaches alone; their time constants differ by 4.2 decades, scored as `separated` (a slow reference disciplining a fast channel).",Condensation forecaster: Emissivity: a shiny surface lies to the IR thermometer by 20× (Anti-Catalog II). Put a strip of matt tape at the cold spot and aim at that. The correction is only as good as the co-location — MLX90621 16x4 fast thermal array must sit in the same air/on the same surface as SHT31 weatherproof probe or it is correcting a different place.
