sensor_id,sensor,usd,category,n_outcomes,outcomes_per_dollar,outcome_keys
S182,Scale-hacking: NAU7802,12,Force & Weight,16,1.33,consumable-remaining|container-fullness|drift-from-baseline|gait-quality|growth-rate|hive-state|livestock-wellbeing|machine-state|object-count|object-dropped|object-present|occupancy-duration|plant-thirsty|posture|someone-present|tank-level
S072,MPU-6050 6-axis IMU,2,Motion & Vibration,15,7.5,am-i-level|cycle-complete|door-state|gait-quality|imbalance|machine-duty-cycle|machine-running|machine-state|object-dropped|object-moved|posture|step-count|structure-moved|tamper-detected|tremor-present
S073,LSM6DSOX ML-core IMU,10,Motion & Vibration,15,1.5,am-i-level|bearing-failing|drift-from-baseline|gait-quality|imbalance|livestock-wellbeing|machine-duty-cycle|machine-running|machine-state|object-dropped|object-moved|posture|step-count|tamper-detected|tremor-present
S087,INMP441 I2S MEMS mic,3,Sound & Audio,14,4.67,air-leak|bearing-failing|cooking-detected|cycle-complete|device-left-on|glass-broken|intrusion|machine-running|machine-state|person-asleep|someone-present|stove-left-on|unusual-sound|which-appliance
S091,Piezo contact mic / disc,0.5,Sound & Audio,14,28.0,air-leak|bearing-failing|cycle-complete|drift-from-baseline|glass-broken|intrusion|machine-duty-cycle|machine-running|machine-state|object-dropped|someone-present|tamper-detected|unusual-sound|water-leak
S098,HX711 + load cell,5,Force & Weight,14,2.8,consumable-remaining|container-fullness|drift-from-baseline|growth-rate|hive-state|livestock-wellbeing|machine-state|object-count|object-dropped|object-present|occupancy-duration|plant-thirsty|someone-present|tank-level
S169,Grove Vision AI v2,16,Cameras & Vision,14,0.88,container-fullness|crossed-boundary|cycle-complete|entered-or-left|fruit-ripe|how-many-people|machine-state|material-type|object-count|object-identity|object-present|queue-length|someone-present|vehicle-approaching
S085,Reed switch,0.5,Magnetic & Compass,13,26.0,container-fullness|cycle-complete|door-state|entered-or-left|flow-rate|intrusion|is-raining|object-count|object-present|rotation-speed|tamper-detected|tank-level|water-used-total
S144,INA219 current/power monitor,2.5,Power & Electrical,13,5.2,abnormal-current|battery-charge|battery-health|cycle-complete|device-left-on|energy-budget-node|machine-duty-cycle|machine-running|machine-state|phantom-load|power-now|solar-performance|which-appliance
S178,LDC1612 inductive sensing,9,Industrial & Automotive,13,1.44,cycle-complete|door-state|hidden-wiring|machine-state|magnetic-anomaly|material-type|object-count|object-genuine|object-material|object-present|rotation-speed|structure-moved|tamper-detected
S179,DFRobot Gravity mmWave presence radar,22,Presence & Occupancy,13,0.59,breathing-rate|entered-or-left|intrusion|no-movement-alarm|occupancy-duration|person-asleep|person-fell|routine-broken|sleep-stage-proxy|someone-present|someone-still-present|through-wall-motion|where-in-room
S207,KX132 low-power accel,6,Motion & Vibration,13,2.17,am-i-level|bearing-failing|cycle-complete|drift-from-baseline|imbalance|machine-running|machine-state|object-dropped|object-moved|person-fell|rotation-speed|structure-moved|tamper-detected
