sensor_id,sensor,usd,category,contact,privacy,outcome_key,outcome_question,domain
S182,Scale-hacking: NAU7802,12,Force & Weight,Contact,Aggregate,consumable-remaining,"How much is left, and how long until it runs out?",Objects & assets
S182,Scale-hacking: NAU7802,12,Force & Weight,Contact,Aggregate,container-fullness,How full is it?,Objects & assets
S182,Scale-hacking: NAU7802,12,Force & Weight,Contact,Aggregate,drift-from-baseline,Has this drifted from how it behaved when new?,Machine health
S182,Scale-hacking: NAU7802,12,Force & Weight,Contact,Aggregate,gait-quality,How is this person walking?,Body & health
S182,Scale-hacking: NAU7802,12,Force & Weight,Contact,Aggregate,growth-rate,How fast is it growing?,Plants & soil
S182,Scale-hacking: NAU7802,12,Force & Weight,Contact,Aggregate,hive-state,What is the beehive doing?,Plants & soil
S182,Scale-hacking: NAU7802,12,Force & Weight,Contact,Aggregate,livestock-wellbeing,Are the animals comfortable and behaving normally?,Plants & soil
S182,Scale-hacking: NAU7802,12,Force & Weight,Contact,Aggregate,machine-state,"Is it idle, loaded, or jammed?",Machine health
S182,Scale-hacking: NAU7802,12,Force & Weight,Contact,Aggregate,object-count,How many went past?,Objects & assets
S182,Scale-hacking: NAU7802,12,Force & Weight,Contact,Aggregate,object-dropped,"Was it dropped, and how hard?",Objects & assets
S182,Scale-hacking: NAU7802,12,Force & Weight,Contact,Aggregate,object-present,Is the thing there?,Objects & assets
S182,Scale-hacking: NAU7802,12,Force & Weight,Contact,Aggregate,occupancy-duration,How long has this desk/room/seat been in use?,Human presence
S182,Scale-hacking: NAU7802,12,Force & Weight,Contact,Aggregate,plant-thirsty,Does this plant need water?,Plants & soil
S182,Scale-hacking: NAU7802,12,Force & Weight,Contact,Aggregate,posture,What posture is this body in?,Body & health
S182,Scale-hacking: NAU7802,12,Force & Weight,Contact,Aggregate,someone-present,Is anyone here?,Human presence
S182,Scale-hacking: NAU7802,12,Force & Weight,Contact,Aggregate,tank-level,How much is in the tank?,Water
S072,MPU-6050 6-axis IMU,2,Motion & Vibration,Contact,None,am-i-level,"Is this level, and by how much is it off?",Navigation & space
S072,MPU-6050 6-axis IMU,2,Motion & Vibration,Contact,None,cycle-complete,Has the cycle finished?,Machine health
S072,MPU-6050 6-axis IMU,2,Motion & Vibration,Contact,None,door-state,Is it open or closed?,Objects & assets
S072,MPU-6050 6-axis IMU,2,Motion & Vibration,Contact,None,gait-quality,How is this person walking?,Body & health
S072,MPU-6050 6-axis IMU,2,Motion & Vibration,Contact,None,imbalance,Is it out of balance or misaligned?,Machine health
S072,MPU-6050 6-axis IMU,2,Motion & Vibration,Contact,None,machine-duty-cycle,How much is this machine actually used?,Machine health
S072,MPU-6050 6-axis IMU,2,Motion & Vibration,Contact,None,machine-running,Is it on?,Machine health
S072,MPU-6050 6-axis IMU,2,Motion & Vibration,Contact,None,machine-state,"Is it idle, loaded, or jammed?",Machine health
S072,MPU-6050 6-axis IMU,2,Motion & Vibration,Contact,None,object-dropped,"Was it dropped, and how hard?",Objects & assets
S072,MPU-6050 6-axis IMU,2,Motion & Vibration,Contact,None,object-moved,Has it been moved or disturbed?,Objects & assets
S072,MPU-6050 6-axis IMU,2,Motion & Vibration,Contact,None,posture,What posture is this body in?,Body & health
S072,MPU-6050 6-axis IMU,2,Motion & Vibration,Contact,None,step-count,How much have they moved today?,Body & health
S072,MPU-6050 6-axis IMU,2,Motion & Vibration,Contact,None,structure-moved,Has this structure shifted or tilted since last time?,Navigation & space
S072,MPU-6050 6-axis IMU,2,Motion & Vibration,Contact,None,tamper-detected,Has someone interfered with it?,Objects & assets
S072,MPU-6050 6-axis IMU,2,Motion & Vibration,Contact,None,tremor-present,"Is there a tremor, and at what frequency?",Body & health
S073,LSM6DSOX ML-core IMU,10,Motion & Vibration,Contact,None,am-i-level,"Is this level, and by how much is it off?",Navigation & space
S073,LSM6DSOX ML-core IMU,10,Motion & Vibration,Contact,None,bearing-failing,Is a bearing starting to fail?,Machine health
S073,LSM6DSOX ML-core IMU,10,Motion & Vibration,Contact,None,drift-from-baseline,Has this drifted from how it behaved when new?,Machine health
S073,LSM6DSOX ML-core IMU,10,Motion & Vibration,Contact,None,gait-quality,How is this person walking?,Body & health
S073,LSM6DSOX ML-core IMU,10,Motion & Vibration,Contact,None,imbalance,Is it out of balance or misaligned?,Machine health
S073,LSM6DSOX ML-core IMU,10,Motion & Vibration,Contact,None,livestock-wellbeing,Are the animals comfortable and behaving normally?,Plants & soil
S073,LSM6DSOX ML-core IMU,10,Motion & Vibration,Contact,None,machine-duty-cycle,How much is this machine actually used?,Machine health
S073,LSM6DSOX ML-core IMU,10,Motion & Vibration,Contact,None,machine-running,Is it on?,Machine health
