key,name,pattern,requires,provides,provides_kind,question,domain,math,why,confound,example
condensation-watch,Condensation forecaster,differential,dew-point×1|temperature-remote×1,condensation-risk,emergent,Will water condense on that surface soon?,Air & environment,Risk when T_surface − T_dew < 1.5°C (T_dew via Magnus: γ = ln(RH/100) + 17.62·T/(243.12+T)),"Condensation is not about air humidity — it is about the COLDEST surface versus the air's dew point. One sensor reads the air, the other reads the wall; the difference is the entire answer.",Emissivity: a shiny surface lies to the IR thermometer by 20× (Anti-Catalog II). Put a strip of matt tape at the cold spot and aim at that.,"SHT41 for dew point + MLX90614 aimed at the bathroom's coldest corner → alert BEFORE the wall sweats, which is the mould sentinel working a week early."
mould-forecast,Mould sentinel (surface-honest),temporal,condensation-risk×1,mould-risk,route,Is this surface going to grow mould?,Air & environment,"Sustained surface-RH > 80% ≈ T_surface within 3°C of T_dew for >6 h/day, integrated over days","Mould does not grow on humid AIR, it grows on surfaces that stay near dew point for hours. Integrating the condensation-risk signal over time is the medically honest route — a chained edge: one derived instrument feeding another.","Hidden surfaces: the coldest spot is usually behind the wardrobe where no sensor points. Survey with the IR thermometer first, THEN mount.","The condensation watcher plus a daily accumulator = the £15 answer to a £2,000 remediation bill."
loop-heat-meter,Hydronic heat meter,differential,flow-liquid×1|temperature-contact×2,thermal-energy-moved,route,How much heat did this water actually carry?,Water,P[W] = (flow[L/min]/60) × 4186 × ΔT[K]; energy = ∫P dt,"Watts moving through any water loop are just flow times temperature drop. Two identical probes measure the drop, so their shared calibration error cancels — the differential pair IS the instrument.","Probe placement: strap-on probes read pipe wall, not water; insulate over them or the ΔT reads low. Air in the flow meter reads high.","YF-S201 + 2× DS18B20 strapped to a heat pump's pipes = the 'is my heat pump lying?' meter, versus the $800 commercial heat meter."
psychrometric-wetbulb,Wet-bulb heat-stress meter,differential,temperature-contact×2,wet-bulb-heat-stress,emergent,How dangerous is this heat to a working human?,Body & health,"T_wet from psychrometric pair (one probe in a wet cotton wick, ~3 m/s airflow); T_wet ≥ 31°C = dangerous, ≥ 35°C = lethal to sustained human work","Wet-bulb temperature is the number heat physiology actually runs on — it is what sweating can still achieve. Two identical probes, one wet, one dry: the pair measures what no single hygrometer states plainly.",The wick must stay wet and ventilated; a dry wick silently converges to the dry bulb and the danger signal disappears exactly when it matters.,"2× DS18B20, a shoelace wick, a small fan: a £6 heat-stress awareness aid for the climate we are actually getting — for work PLANNING, not a certified occupational instrument."
soil-heat-pulse,Dual-probe heat-pulse soil water,differential,temperature-contact×2,soil-water-volumetric,emergent,"How much water is actually IN this soil, in percent?",Plants & soil,"θ = (C − C_dry)/4.18 where C = q/(e·π·r²·ΔT_max) in MJ·m⁻³·K⁻¹, q = pulse energy per metre of heater wire [J/m]; heat pulse from a resistor wire","Water dominates soil's volumetric heat capacity, so the temperature rise a known heat pulse produces 6 mm away is a direct water-content measurement — research-grade physics from two thermistor beads.",Probe spacing must be known to ±0.5 mm (r² term); root contact and stones distort the thermal field. Calibrate the dry point once per soil.,"Two glass-bead NTCs in hypodermic tubes + a heater wire: the £8 version of a $400 TEROS — Derived Instruments row 2, now a computable capability."
cloud-cover-ir,Sky thermometer cloud detector,differential,temperature-remote×1|temperature-contact×1,sky-clear,route,Is the sky clear or clouded?,Weather & outdoors,Clear sky reads 25–45°C BELOW air temp in thermal IR; overcast reads within ~5°C,"A clear sky is a window to space at 3 K, so an IR thermometer aimed up reads dramatically cold; clouds are water at roughly air temperature. The DIFFERENCE between sky and air temperature is a cloud-cover instrument.",Rain on the sensor window reads as total overcast; high thin cirrus reads half-way and fools the threshold. Angle it 10° off zenith with a rain shield.,"MLX90614 face-up + any air thermometer = astronomy go/no-go, radiative frost early warning, and a solar-forecast input, for £10."
black-ice-watch,Road ice predictor,differential,temperature-remote×1|dew-point×1,black-ice-risk,emergent,Is the road surface about to ice over?,Weather & outdoors,Alarm when T_road ≤ 1°C AND T_road ≤ T_dew + 0.5°C (frost deposition condition),Black ice forms when the ROAD — not the air — drops below both freezing and the frost point. Road surface radiates to the sky and runs colder than air on clear nights; only the pair of measurements sees it coming.,"The IR spot must land on representative tarmac, not painted lines (different emissivity) or the verge. Wind mixes the boundary layer and lifts T_road.",MLX90614 on a gatepost aimed at the drive + SHT41: know the drive is icing before the council's gritter does — the same physics as a £30k RWIS station.
filter-dp,Filter-health differential barometer,differential,pressure-absolute×2,filter-clogged,route,Is the filter blocked?,Machine health,ΔP = P_upstream − P_downstream; alarm at 2–3× the clean-filter baseline,"A clogging filter is a rising pressure drop. Two absolute barometers, one either side, subtract to a differential gauge — and because they are identical parts, their weather-driven drift is common-mode and cancels.","A clean HVAC filter drops only 30–100 Pa, near the ±3 Pa relative floor of a good barometer pair — zero the pair together first and average hard. Cheap ±100 Pa modules cannot do this job.","2× BMP390 taped either side of the furnace filter: change it when the numbers say so, not when the calendar guesses."
compost-core,Compost activity meter,differential,temperature-contact×2,compost-active,route,Is the compost heating properly — or dangerously?,Plants & soil,ΔT = T_core − T_ambient; active thermophilic compost holds ΔT ≈ 20–40°C,"Microbial activity IS heat production. The core-minus-ambient difference removes weather entirely, leaving pure biology — a single probe confuses a sunny week with a working pile.",Probe depth: the thermophilic core is the middle 30 cm; a shallow probe reads the cool skin and declares a working pile dead.,"Two DS18B20s — one on a stake in the core, one in the shade: turn the pile when ΔT sags, harvest when it converges. Free process control."
bearing-thermal,Bearing temperature-rise monitor,differential,temperature-contact×2,bearing-failing,route,Is a bearing starting to fail?,Machine health,ΔT = T_bearing − T_ambient; trend of ΔT at constant load is the health signal,A failing bearing turns friction into heat before it turns it into noise you can hear. Referencing against ambient kills the day/night and seasonal swing that makes a single probe useless for trending.,"Load changes move ΔT legitimately — trend at the SAME duty point, or normalise by motor current. Direct sun on the housing wrecks the reading.","Two NTC beads, one epoxied to the bearing housing, one in free air: the £1 vibration-analysis cross-check, and it catches lubrication failure earlier."
