outcome_key,domain,question,n_routes,rarity,first_tier,cheapest,most_capable,no_contact,privacy_safe,all_routes
ventilation-adequate,Air & environment,Is ventilation actually working?,36,,CORE,MQ-135 air quality ($2.5),SprintIR-W fast wide-range NDIR CO2,MQ-135 air quality ($2.5),MQ-135 air quality ($2.5),MQ-135 air quality ($2.5) | DHT22 / AM2302 ($4) | AGS02MA TVOC budget ($4) | SHT41 humidity + temp ($6) | BME280 climate combo ($6) | XGZP6897D low-range diff pressure ($6) | HDC3022 humidity + temp ($7) | DPS310 barometer ($7) | ENS160 air quality ($9) | BMP390 precision barometer ($10) | SGP30 eCO2/TVOC (legacy) ($10) | XY-MD02 Modbus RTU temperature & humidity transmitter ($11.0) | SHT31 weatherproof probe ($12) | SGP40 VOC index ($12) | BME688 gas + climate AI ($15) | PMS5003 particulate ($15) | MH-Z19C budget NDIR CO2 ($18) | STCC4 low-cost percent CO2 ($18.0) | MiCS-6814 tri-gas ($20) | ZE08-CH2O formaldehyde ($22) | SCD41 true CO2 ($25) | SenseAir S8 CO2 ($25) | FS3000 air velocity ($26) | STC31 percent-level CO2 ($28.0) | Cubic CM1107N dual-beam CO2 ($30.0) | SDP810 differential pressure ($35) | SCD30 NDIR CO2 ($40) | Thermal flow: SDP + thermistor DIY ($40) | NDIR methane / hydrocarbon module ($45) | SPS30 premium PM ($45) | SEN66 six-in-one air module ($70.0) | Electrochemical gas cells ($80) | Telaire T6713 I2C CO2 ($80.0) | SenseAir K30 NDIR CO2 ($95.0) | RD200 radon sensor ($180) | SprintIR-W fast wide-range NDIR CO2 ($190.0)
cooking-detected,Air & environment,Is someone cooking?,30,,FOUNDATION,MQ-2 smoke/LPG gas ($2),Scent delivery + e-nose loop,MQ-2 smoke/LPG gas ($2),MQ-2 smoke/LPG gas ($2),MQ-2 smoke/LPG gas ($2) | IR flame detector (flicker) ($2) | MQ-135 air quality ($2.5) | MQ-4 methane / natural gas ($2.5) | MQ-6 LPG/propane ($2.5) | INMP441 I2S MEMS mic ($3) | DHT22 / AM2302 ($4) | AGS02MA TVOC budget ($4) | ICS-43434 I2S mic ($5) | SHT41 humidity + temp ($6) | MAX9814 AGC mic amp ($7) | SPH0645 I2S mic ($7) | MLX90614 IR thermometer ($8) | ENS160 air quality ($9) | SGP30 eCO2/TVOC (legacy) ($10) | SGP40 VOC index ($12) | Ikea VINDRIKTNING hack ($13) | MiCS-5524 CO/VOC ($14) | BME688 gas + climate AI ($15) | PMS5003 particulate ($15) | MiCS-6814 tri-gas ($20) | SDS011 particulate ($20) | PMS7003 laser particle counter ($20.0) | BME690 gas + climate ($22.0) | Honeywell HPM particulate sensor ($40.0) | SPS30 premium PM ($45) | SEN55 all-in-one air node ($50.0) | Scent delivery + e-nose loop ($60) | SEN66 six-in-one air module ($70.0) | Piera IPS-7100 ultrafine particle sensor ($70.0)
air-stuffy,Air & environment,Is this room stuffy — does it need fresh air?,24,,FOUNDATION,AHT20 temp/humidity ($2),SenseAir K30 NDIR CO2,AHT20 temp/humidity ($2),AHT20 temp/humidity ($2),AHT20 temp/humidity ($2) | MQ-135 air quality ($2.5) | Si7021 humidity/temp ($4) | SHTC3 tiny low-power RH/T ($4) | AGS02MA TVOC budget ($4) | ENS160 air quality ($9) | SGP30 eCO2/TVOC (legacy) ($10) | SGP40 VOC index ($12) | MiCS-5524 CO/VOC ($14) | BME688 gas + climate AI ($15) | MH-Z19C budget NDIR CO2 ($18) | ZE08-CH2O formaldehyde ($22) | BME690 gas + climate ($22.0) | SCD41 true CO2 ($25) | SenseAir S8 CO2 ($25) | FS3000 air velocity ($26) | MQ-131 ozone ($30) | Cubic CM1107N dual-beam CO2 ($30.0) | SCD30 NDIR CO2 ($40) | SEN55 all-in-one air node ($50.0) | Scent delivery + e-nose loop ($60) | SEN66 six-in-one air module ($70.0) | Telaire T6713 I2C CO2 ($80.0) | SenseAir K30 NDIR CO2 ($95.0)
voc-event,Air & environment,Did something start off-gassing or smelling?,21,,FOUNDATION,MQ-2 smoke/LPG gas ($2),Alphasense PID-AH2 photoionisation VOC,MQ-2 smoke/LPG gas ($2),MQ-2 smoke/LPG gas ($2),MQ-2 smoke/LPG gas ($2) | MQ-3 alcohol sensor ($2.5) | MQ-135 air quality ($2.5) | MQ-4 methane / natural gas ($2.5) | MQ-6 LPG/propane ($2.5) | MQ-8 hydrogen sensor ($4) | AGS02MA TVOC budget ($4) | ENS160 air quality ($9) | SGP30 eCO2/TVOC (legacy) ($10) | SGP40 VOC index ($12) | MiCS-5524 CO/VOC ($14) | BME688 gas + climate AI ($15) | MiCS-6814 tri-gas ($20) | ZE08-CH2O formaldehyde ($22) | BME690 gas + climate ($22.0) | MQ-131 ozone ($30) | SEN55 all-in-one air node ($50.0) | Scent delivery + e-nose loop ($60) | SEN66 six-in-one air module ($70.0) | Piera IPS-7100 ultrafine particle sensor ($70.0) | Alphasense PID-AH2 photoionisation VOC ($320.0)
mould-risk,Air & environment,Is this surface going to grow mould?,19,,FOUNDATION,AHT20 temp/humidity ($2),Scent delivery + e-nose loop,AHT20 temp/humidity ($2),AHT20 temp/humidity ($2),AHT20 temp/humidity ($2) | Capacitive rain/condensation plate ($3) | DHT22 / AM2302 ($4) | Si7021 humidity/temp ($4) | SHTC3 tiny low-power RH/T ($4) | SHT41 humidity + temp ($6) | BME280 climate combo ($6) | HDC3022 humidity + temp ($7) | Water leak rope sensor ($10) | XY-MD02 Modbus RTU temperature & humidity transmitter ($11.0) | SHT31 weatherproof probe ($12) | BME688 gas + climate AI ($15) | Leaf wetness sensor ($15) | BME690 gas + climate ($22.0) | SCD41 true CO2 ($25) | SCD30 NDIR CO2 ($40) | MLX90640 thermal camera ($45) | SEN55 all-in-one air node ($50.0) | Scent delivery + e-nose loop ($60)
gas-leak,Air & environment,Is there a flammable gas leak?,17,,FOUNDATION,MQ-2 smoke/LPG gas ($2),SprintIR-W fast wide-range NDIR CO2,MQ-2 smoke/LPG gas ($2),MQ-2 smoke/LPG gas ($2),MQ-2 smoke/LPG gas ($2) | MQ-7 carbon monoxide ($2.5) | MQ-4 methane / natural gas ($2.5) | MQ-6 LPG/propane ($2.5) | MQ-8 hydrogen sensor ($4) | MiCS-5524 CO/VOC ($14) | STCC4 low-cost percent CO2 ($18.0) | MiCS-6814 tri-gas ($20) | STC31 percent-level CO2 ($28.0) | Figaro TGS6812 catalytic pellistor ($35.0) | NDIR methane / hydrocarbon module ($45) | Scent delivery + e-nose loop ($60) | Electrochemical gas cells ($80) | MPS flammable gas and refrigerant sensor ($85.0) | INIR NDIR methane module ($130.0) | Alphasense CL2-A1 chlorine cell ($130.0) | SprintIR-W fast wide-range NDIR CO2 ($190.0)
smell-signature,Air & environment,What does this smell like — which known smell is it?,14,,CORE,MQ-3 alcohol sensor ($2.5),Alphasense PID-AH2 photoionisation VOC,MQ-3 alcohol sensor ($2.5),MQ-3 alcohol sensor ($2.5),MQ-3 alcohol sensor ($2.5) | MQ-135 air quality ($2.5) | AGS02MA TVOC budget ($4) | ENS160 air quality ($9) | SGP30 eCO2/TVOC (legacy) ($10) | SGP40 VOC index ($12) | MiCS-5524 CO/VOC ($14) | BME688 gas + climate AI ($15) | MiCS-6814 tri-gas ($20) | BME690 gas + climate ($22.0) | Winsen ZE03-NH3 ammonia module ($40.0) | Scent delivery + e-nose loop ($60) | Electrochemical gas cells ($80) | Alphasense PID-AH2 photoionisation VOC ($320.0)
smoke-present,Air & environment,Is there smoke?,13,,FOUNDATION,MQ-2 smoke/LPG gas ($2),Alphasense OPC-N3 optical particle counter,MQ-2 smoke/LPG gas ($2),MQ-2 smoke/LPG gas ($2),MQ-2 smoke/LPG gas ($2) | MQ-7 carbon monoxide ($2.5) | SGP40 VOC index ($12) | Ikea VINDRIKTNING hack ($13) | BME688 gas + climate AI ($15) | PMS5003 particulate ($15) | SDS011 particulate ($20) | PMS7003 laser particle counter ($20.0) | Honeywell HPM particulate sensor ($40.0) | SPS30 premium PM ($45) | SEN55 all-in-one air node ($50.0) | Piera IPS-7100 ultrafine particle sensor ($70.0) | Alphasense OPC-N3 optical particle counter ($500.0)
particulate-level,Air & environment,How polluted is the air right now?,12,,COMPLETE,Ikea VINDRIKTNING hack ($13),Alphasense OPC-N3 optical particle counter,Ikea VINDRIKTNING hack ($13),Ikea VINDRIKTNING hack ($13),Ikea VINDRIKTNING hack ($13) | PMS5003 particulate ($15) | SDS011 particulate ($20) | PMS7003 laser particle counter ($20.0) | MQ-131 ozone ($30) | Honeywell HPM particulate sensor ($40.0) | SPS30 premium PM ($45) | SEN55 all-in-one air node ($50.0) | SEN66 six-in-one air module ($70.0) | Piera IPS-7100 ultrafine particle sensor ($70.0) | Alphasense NO2-B43F electrochemical cell ($120.0) | Alphasense OPC-N3 optical particle counter ($500.0)
too-dry,Air & environment,"Is the air dry enough to damage wood, skin or instruments?",11,,FOUNDATION,AHT20 temp/humidity ($2),BME688 gas + climate AI,AHT20 temp/humidity ($2),AHT20 temp/humidity ($2),AHT20 temp/humidity ($2) | DHT22 / AM2302 ($4) | Si7021 humidity/temp ($4) | SHTC3 tiny low-power RH/T ($4) | SHT41 humidity + temp ($6) | BME280 climate combo ($6) | HDC3022 humidity + temp ($7) | XY-MD02 Modbus RTU temperature & humidity transmitter ($11.0) | SHT31 weatherproof probe ($12) | BME688 gas + climate AI ($15) | SCD41 true CO2 ($25)
